curve_type,query,parameter_label,paired_window_count,within_1pct_of_full_count,within_1pct_of_full_fraction,relative_distance_to_full_median,base_to_full_change_median,base_to_full_change_q25,base_to_full_change_q75
radius,mean_absolute_duration_gap_per_core,8 km,89,18,0.20224719101123595,0.019688199754953555,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,temporal-only,89,89,1.0,0.0,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_fare_gap_per_core,0 km,1,0,0.0,0.04076086956521732,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,0.25 km,1,0,0.0,0.04076086956521732,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,0.5 km,1,0,0.0,0.03940217391304345,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,1 km,1,0,0.0,0.031249999999999924,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,16 km,1,1,1.0,0.0027173913043478915,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,2 km,1,0,0.0,0.031250000000000076,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,32 km,1,1,1.0,0.0,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,4 km,1,0,0.0,0.027173913043478163,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,8 km,1,1,1.0,0.0040760869565217624,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_fare_gap_per_core,temporal-only,1,1,1.0,0.0,0.9615384615384599,0.9615384615384599,0.9615384615384599
radius,mean_absolute_trip_miles_gap_per_core,0 km,88,3,0.03409090909090909,0.034067163507385256,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,0.25 km,88,3,0.03409090909090909,0.034067163507385256,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,0.5 km,88,3,0.03409090909090909,0.03290394893955946,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,1 km,88,4,0.045454545454545456,0.025812704971550055,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,16 km,88,86,0.9772727272727273,0.0008343266770816883,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,2 km,88,10,0.11363636363636363,0.01935049358720111,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,32 km,88,88,1.0,1.8301865311663123e-16,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,4 km,88,21,0.23863636363636365,0.01599566193779689,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,8 km,88,43,0.48863636363636365,0.010422556775097007,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,mean_absolute_trip_miles_gap_per_core,temporal-only,88,88,1.0,0.0,0.7308630952380977,0.3988107090820785,1.1227578630897312
radius,same_dropoff_community_area_fraction_per_core,0 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,0.25 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,0.5 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,1 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,16 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,2 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,32 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,4 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,8 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_dropoff_community_area_fraction_per_core,temporal-only,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,0 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,0.25 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,0.5 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,1 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,16 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,2 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,32 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,4 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,8 km,89,89,1.0,0.0,0.0,0.0,0.0
radius,same_pickup_community_area_fraction_per_core,temporal-only,89,89,1.0,0.0,0.0,0.0,0.0
