window_index,window_label,capacity,q,query,direction,restriction,status,endpoint_rational,ordered_tie_subset_count,restricted_tie_subset_count,shared_attaining_subset_count,ordered_only_attaining_subset_count,same_buffer_subset_witnessed,ordered_witness_sha256,restricted_witness_sha256
0,jan_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,1052/15,1,1,1,0,True,43b7f223b95b9e6db795aa51fbfda2540a93d8aae53f72a3a8fa5567af67fb95,b6ebd919fd786962564418c633398da3c4182a819b2f1da037837b31632d093d
0,jan_weekday_am_n8,4,2,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,17453/2000,1,1,1,0,True,06447247c0c0680413d3d19cfc44dfbfd96b817e1a9d70cb22b05dc80ed62535,15965983cd13e692576ebc208aea2f28b61440d06ab55833ee760867b0d01fa9
0,jan_weekday_am_n8,4,2,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,13469/500,1,1,1,0,True,10785a2f21c977c261b0df4074364ef42de8cff77a6ac4545aea807357252442,b9c6e0f27204f4cfd68a1ccbafb78f7337eec947df586f2306ba1d8f4fe0bcd7
0,jan_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,1733/40,1,1,1,0,True,f0093efd96a3ed11629451d5b309d7a4792d50676f65519d7dd412386e5bd6d3,c939b94821152fdeb5de4b8617228ee1cd418d1fa64c50704d65d901ab94af2a
0,jan_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,1052/15,1,1,1,0,True,43b7f223b95b9e6db795aa51fbfda2540a93d8aae53f72a3a8fa5567af67fb95,7c398cbf5a068327bc3a1fff054084ce19b9b4b44f26993235fbeae55183d9b1
0,jan_weekday_am_n8,4,4,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,39217/4000,1,1,1,0,True,07a6947b47cc79bb8a64572a274e06dc0f6b0256a0fcec2cb80f0f4535b3372c,7fa869b19b18dc6286b9bdbd7f2ae805965f626811df14ec12f746f55c49e521
0,jan_weekday_am_n8,4,4,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,100061/4000,1,1,1,0,True,503ceabdefa80c26189c5d2374daf0b390d079e86501c055ecfeff55e75c4b1a,7ebb8f2681dae169f6f4d905a76c4977c35f43dfe371ec7042ece81b71b85273
0,jan_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,10457/240,1,1,1,0,True,051b2c2013cd00fd05880d10b23b20b3605cdea81cbfd555e8c098beeb0ec2e4,1a7c7b3bf9fb208a94dacdf44004c27e415dbcbb2370bbe65e470b3a0fbaf156
0,jan_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,973/15,1,1,1,0,True,cae573a0fc078f337d920b765d8fded5384bb454b221b2524a6b72fd27b6bf7e,56658b30afba99b41add02b75de4cbeae592fc8e98930435e2d4ed6d1a433cec
0,jan_weekday_am_n8,4,4,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,39217/4000,1,1,1,0,True,07a6947b47cc79bb8a64572a274e06dc0f6b0256a0fcec2cb80f0f4535b3372c,8c87b2f9fa6b1deade272fbbe142162f5c36708da27cfc61cc0c17f3d412ca44
