buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
381,415,120,PASS,0,34,2026-02-16T08:00:00,150,,,30,PARTIAL,11be15b5c0d76eae514788d658f57ec6d1dde6e1a4ea1884cbbc175fa1a9de87,0f41f4460912c06e2d4605d5db321c851b702e5d1b2cd672d6e86dec36c2e44e,COMPLETED,10591,30,66
326,370,120,PASS,0,44,2026-02-16T12:00:00,150,,,30,PARTIAL,dd28e6623c509e589debc3352d5310b07d98568d614098aaeb718d2cc4b78cc9,687369c1e3173637ea4bdbecef39d8b59b6f8aab657b34a2971751f02f937d11,COMPLETED,11555,30,67
423,474,120,PASS,0,51,2026-02-16T17:30:00,150,,,30,PARTIAL,6e50d5c9e3f83d84daae7d30743d211f13ee700e83863c5db74938bdd0039f17,fb0bc8b9f55add32c2f2436fe760cbbbfbfa5b70cde2267fff39300105217376,COMPLETED,16663,30,68
407,449,120,PASS,0,42,2026-02-17T08:00:00,150,,,30,PARTIAL,086713d024c2aea300e28708db5458896accf597b4ca5de7a437078a0314a39f,fb0286f75e3c31a22ce1c2b71618dc96f4a89b2c3d631ea5bc27a64a8edc3b14,COMPLETED,13124,30,69
396,445,120,PASS,0,49,2026-02-17T12:00:00,150,,,30,PARTIAL,0b1b9a9e0b1bddd999e28438c2dc0e6ece84ca48d9f25f800837e77265c46189,16c1f0ef84b01fb95db791bfd51c8c160971d88c8f12b7f3db00db8925eac0df,COMPLETED,15103,30,70
452,486,122,PASS,0,34,2026-02-17T17:30:00,150,,,28,PARTIAL,c29df2c85353e3cd24c993ab9a243d8582b7accd84cac322d80e9516b946bb10,9aa8c136f7df7b3fcc375295d80dc1fab87b2c2d8dda615c772216f24bb08db0,COMPLETED,11650,28,71
443,494,120,PASS,0,51,2026-02-18T08:00:00,150,,,30,PARTIAL,9f68204a0e6a0c213d3f31bd80fa87340761ac5df9f9ea100e97163e1ad99f69,da5ac161d488c3e7d3c31c92744dc98444e32ff57d7b7acbd031827ac53c7a99,COMPLETED,17997,30,72
375,415,120,PASS,0,40,2026-02-18T12:00:00,150,,,30,PARTIAL,f0dfbe06a43351c0e23ec92a501105058a7e7b4bcca4c92993b696e43a29686f,49fe1489bb0c7504faea038cf63e8a13f79ebfa267d64a4a9144682741a0cc19,COMPLETED,11350,30,73
507,569,112,PASS,0,62,2026-02-18T17:30:00,140,,,28,PARTIAL,59ff5b412dd0267587d36837b9d889fa42c67c3626cec0c9bc3fc3a946490045,1315619e23934c8b549c265d9f78907b668dc62ca071737bedfcb3bf2c8d6a25,COMPLETED,24989,28,74
473,520,120,PASS,0,47,2026-02-19T08:00:00,150,,,30,PARTIAL,5dd06cc3a6c0d6b17466e617d999389d76f276f2b48d3f91f47a46ce9b47fd05,ad93a8f50bae90d5ddc307a40ed1d6e5664185c27b3c66b78c20a949fd41b4ca,COMPLETED,17612,30,75
306,348,120,PASS,0,42,2026-02-19T12:00:00,150,,,30,PARTIAL,e264f125b89da8fb1a4716f15fba04f91f5207c5899853df3296f74812cfb77f,6ef2c17d2496f547b7e92cff0a29ba511a8f057e8e725e68a9dd9c9152be2dc5,COMPLETED,10473,30,76
18,20,75,PASS,15,2,2026-02-19T17:30:00,90,,,0,PARTIAL,44214884c4e99bc57e8cf9a7d7cfeb6f9110f0ae1b02fe5bc303d17184c68271,e2db518e836650c24fe8742be30bb43562768792a36a2b69f7d79af7eea4da6d,COMPLETED,37,15,77
530,590,120,PASS,0,60,2026-02-20T08:00:00,150,,,30,PARTIAL,dead0e190beda9a5f51b959bf52abdffa0e3d734f22052777e5ced4b75d60e6e,219f0daa4afddc36af23b885ba92380795f4c7887212417c58d4886a1496bb19,COMPLETED,23791,30,78
383,430,120,PASS,0,47,2026-02-20T12:00:00,150,,,30,PARTIAL,707bf1b62eca784eedadcda05dc7059887c2ed8500d5207475414b012785c3a2,e2fdad20bfbb7a05ec62115fea9ce4cdef4b7dff82d4df6fe1f49fe642bbefb4,COMPLETED,14157,30,79
752,830,145,PASS,5,78,2026-02-20T17:30:00,150,,,0,PARTIAL,56f7fabc54ad019a16806f9b8b021c47111e7f680d009d2713d423db9cbd08b1,da35a40ef65e1910ea2684ffe34e8963ca268e49855b4524add21be579f47cec,COMPLETED,38155,5,80
